Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,scheme_name,Net Asset Value,Date
119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,105.223,22-Jul-24
119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,115.1816,22-Jul-24
119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,105.6514,22-Jul-24
108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,148.2879,22-Jul-24
110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,111.3925,22-Jul-24
108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,102.3214,22-Jul-24
110490,INF209K01LR8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,111.1731,22-Jul-24
106157,INF209K01LS6,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,105.1317,22-Jul-24
108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,339.352,22-Jul-24
103176,INF209K01LT4,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,509.4131,22-Jul-24
119550,INF209K01YN0,-,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,351.0826,22-Jul-24
128952,INF846K01NF8,-,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,14-Jun-17
120437,-,INF846K01CU0,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.131,22-Jul-24
120438,INF846K01CR6,-,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2509.9444,22-Jul-24
120439,INF846K01CT2,INF846K01CS4,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1039.4003,22-Jul-24
120436,INF846K01CV8,INF846K01CW6,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1038.2027,22-Jul-24
128953,INF846K01NG6,-,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,18-May-15
117447,-,INF846K01CC8,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1039.1303,22-Jul-24
117446,INF846K01CB0,-,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2440.4443,22-Jul-24
117449,INF846K01CF1,INF846K01CG9,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1039.1724,22-Jul-24
117448,INF846K01CD6,INF846K01CE4,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1038.2003,22-Jul-24
152164,INF0QA701649,INF0QA701631,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,10.5824,22-Jul-24
152163,INF0QA701615,INF0QA701623,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,10.5824,22-Jul-24
152165,INF0QA701557,-,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,10.5422,22-Jul-24
152166,INF0QA701565,INF0QA701573,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,10.5422,22-Jul-24
152162,INF0QA701607,-,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,10.5824,22-Jul-24
152167,INF0QA701599,INF0QA701581,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,10.5422,22-Jul-24
121936,INF194K019M8,-,BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,12.238,22-Jul-24
127471,-,INF194KA1JD3,BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,10.4768,22-Jul-24
121934,-,INF194K010N5,BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,10.4663,22-Jul-24
121279,INF194K015G8,-,BANDHAN Banking & PSU Debt Fund - Direct Growth,23.4397,22-Jul-24
121281,INF194K016G6,INF194K017G4,BANDHAN Banking & PSU Debt Fund - Direct IDCW,12.3302,22-Jul-24
121935,-,INF194K011N3,BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,10.4925,22-Jul-24
121938,INF194K018M0,-,BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,10.8328,22-Jul-24
121933,INF194K015M6,-,BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,11.2655,22-Jul-24
127470,-,INF194KA1JC5,BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,10.8788,22-Jul-24
121931,-,INF194K016M4,BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6217,22-Jul-24
121280,INF194K01SN6,-,BANDHAN Banking & PSU Debt Fund - Regular Growth,22.8404,22-Jul-24
121282,INF194K01SO4,INF194K012D2,BANDHAN Banking & PSU Debt Fund - Regular IDCW,12.3337,22-Jul-24
121932,-,INF194K017M2,BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,10.7359,22-Jul-24
121937,INF194K014M9,-,BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,10.7382,22-Jul-24
148629,INF955L01KF1,INF955L01KG9,Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.3141,22-Jul-24
148628,INF955L01KC8,-,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,11.9,22-Jul-24
148630,INF955L01KD6,INF955L01KE4,Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.3509,22-Jul-24
148625,INF955L01JX6,-,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,11.6858,22-Jul-24
148626,INF955L01KA2,INF955L01KB0,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.1904,22-Jul-24
148627,INF955L01JY4,INF955L01JZ1,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.1839,22-Jul-24
150505,INF760K01KC4,-,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,11.3045,22-Jul-24
150507,INF760K01KE0,INF760K01KD2,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.4811,22-Jul-24
150503,INF760K01KF7,-,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,11.2397,22-Jul-24
150504,INF760K01KH3,INF760K01KG5,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.4283,22-Jul-24
124175,INF740K01ZW2,-,DSP Banking & PSU Debt Fund - Direct Plan - Growth,23.0154,22-Jul-24
124178,INF740K01A18,INF740K01A26,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.4694,22-Jul-24
124182,-,INF740KA1OF7,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.16,22-Jul-24
124176,INF740K01ZX0,INF740K01ZY8,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.32,22-Jul-24
124177,INF740K01ZZ5,INF740K01A00,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,10.2813,22-Jul-24
124183,INF740KA1OG5,INF740KA1OH3,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1689,22-Jul-24
124172,INF740K01ZP6,-,DSP Banking & PSU Debt Fund - Regular Plan - Growth,22.2891,22-Jul-24
124174,INF740K01ZU6,INF740K01ZV4,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.4602,22-Jul-24
124173,-,INF740KA1OI1,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.16,22-Jul-24
124180,INF740K01ZQ4,INF740K01ZR2,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.31,22-Jul-24
124181,INF740K01ZS0,INF740K01ZT8,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,10.2768,22-Jul-24
124179,INF740KA1OJ9,INF740KA1OK7,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1687,22-Jul-24
140286,INF843K01FC8,-,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,23.5074,22-Jul-24
140288,INF843K01FD6,INF843K01FE4,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.5148,22-Jul-24
140291,INF843K01FG9,-,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.528,22-Jul-24
140293,INF843K01FI5,INF843K01FH7,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.9961,22-Jul-24
140290,INF843K01FF1,-,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5615,22-Jul-24
140283,INF843K01FK1,-,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,22.7519,22-Jul-24
140284,INF843K01FL9,INF843K01FM7,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,17.7916,22-Jul-24
140294,INF843K01FO3,-,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,14.1168,22-Jul-24
140292,INF843K01FQ8,INF843K01FP0,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.2399,22-Jul-24
140289,INF843K01FN5,-,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.1554,22-Jul-24
129008,INF090I01KR8,-,Franklin India Banking & PSU Debt Fund - Direct - Growth,21.6615,22-Jul-24
129006,INF090I01KO5,-,Franklin India Banking & PSU Debt Fund - Growth,20.8009,22-Jul-24
129009,INF090I01KS6,INF090I01KT4,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,11.149,22-Jul-24
129007,INF090I01KP2,INF090I01KQ0,Franklin India Banking and PSU Debt Fund - IDCW ,10.5652,22-Jul-24
128628,INF179KA1JC4,-,HDFC Banking and PSU Debt Fund - Growth Option,21.2977,22-Jul-24
128629,INF179KA1IZ7,-,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,22.0953,22-Jul-24
