scheme_code, scheme_code, nav_date, nav
48204,360 ONE Balanced Hybrid Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,12.3036
48205,360 ONE Balanced Hybrid Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,12.3036
48144,360 ONE Balanced Hybrid Fund-Reg(G),7/22/2024 12:00:00 AM,12.1531
48203,360 ONE Balanced Hybrid Fund-Reg(IDCW),7/22/2024 12:00:00 AM,12.1531
22085,360 ONE Dynamic Bond Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,21.7659
35637,360 ONE Dynamic Bond Fund(M-IDCW Payout)-Direct Plan,7/22/2024 12:00:00 AM,13.2657
22086,360 ONE Dynamic Bond Fund(M-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,13.2657
43654,360 ONE Dynamic Bond Fund(Q-IDCW Payout)-Direct Plan,7/22/2024 12:00:00 AM,20.0876
22087,360 ONE Dynamic Bond Fund(Q-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,20.0876
22228,360 ONE Dynamic Bond Fund-Reg(B),7/22/2024 12:00:00 AM,20.6797
17578,360 ONE Dynamic Bond Fund-Reg(G),7/22/2024 12:00:00 AM,20.6798
43653,360 ONE Dynamic Bond Fund-Reg(H-IDCW Payout),7/22/2024 12:00:00 AM,19.9559
22083,360 ONE Dynamic Bond Fund-Reg(H-IDCW),7/22/2024 12:00:00 AM,19.9559
43651,360 ONE Dynamic Bond Fund-Reg(M-IDCW Payout),7/22/2024 12:00:00 AM,12.371
17579,360 ONE Dynamic Bond Fund-Reg(M-IDCW),7/22/2024 12:00:00 AM,12.371
43652,360 ONE Dynamic Bond Fund-Reg(Q-IDCW Payout),7/22/2024 12:00:00 AM,19.956
17580,360 ONE Dynamic Bond Fund-Reg(Q-IDCW),7/22/2024 12:00:00 AM,19.956
47304,360 ONE ELSS Tax Saver Nifty 50 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,13.653
47305,360 ONE ELSS Tax Saver Nifty 50 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,13.653
47302,360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),7/22/2024 12:00:00 AM,13.5996
47303,360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,13.5996
48000,360 ONE Flexicap Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,15.2682
48087,360 ONE Flexicap Fund(IDCW Payout)-Direct Plan,7/22/2024 12:00:00 AM,15.2682
48001,360 ONE Flexicap Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,15.2682
47567,360 ONE Flexicap Fund-Reg(G),7/22/2024 12:00:00 AM,15.0129
48066,360 ONE Flexicap Fund-Reg(IDCW Payout),7/22/2024 12:00:00 AM,15.0129
47999,360 ONE Flexicap Fund-Reg(IDCW),7/22/2024 12:00:00 AM,15.0129
30926,360 ONE Focused Equity Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,53.8757
30927,360 ONE Focused Equity Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,53.3262
35638,360 ONE Focused Equity Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,53.3262
30046,360 ONE Focused Equity Fund-Reg(G),7/22/2024 12:00:00 AM,47.9914
30925,360 ONE Focused Equity Fund-Reg(IDCW),7/22/2024 12:00:00 AM,42.4625
36848,360 ONE Focused Equity Fund-Reg(IDCW-Reinv),7/22/2024 12:00:00 AM,42.4625
24677,360 ONE Liquid Fund(DD-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,1000.1261
24676,360 ONE Liquid Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,1897.4799
43650,360 ONE Liquid Fund(W-IDCW Reinv)-Direct Plan,7/22/2024 12:00:00 AM,1006.1489
