scheme_code,scheme_name_x, nav_date, nav,normalized_name_x,matched_name,matched_scheme_name,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,scheme_name_y,Net Asset Value,Date,normalized_name_y
48204,360 ONE Balanced Hybrid Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,12.3036,360onebalancedhybridfundgdirectplan,360onebalancedhybridfunddirectplanidcw,360 ONE Balanced Hybrid Fund - Direct Plan - IDCW,152073.0,INF579M01AZ6,INF579M01BA7,360 ONE Balanced Hybrid Fund - Direct Plan - IDCW,12.3036,22-Jul-24,360onebalancedhybridfunddirectplanidcw
48205,360 ONE Balanced Hybrid Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,12.3036,360onebalancedhybridfundidcwdirectplan,360onebalancedhybridfunddirectplanidcw,360 ONE Balanced Hybrid Fund - Direct Plan - IDCW,152073.0,INF579M01AZ6,INF579M01BA7,360 ONE Balanced Hybrid Fund - Direct Plan - IDCW,12.3036,22-Jul-24,360onebalancedhybridfunddirectplanidcw
48144,360 ONE Balanced Hybrid Fund-Reg(G),7/22/2024 12:00:00 AM,12.1531,360onebalancedhybridfundregg,360onebalancedhybridfundregularplangrowth,360 ONE Balanced Hybrid Fund - Regular Plan - Growth,152075.0,INF579M01AV5,-,360 ONE Balanced Hybrid Fund - Regular Plan - Growth,12.1531,22-Jul-24,360onebalancedhybridfundregularplangrowth
48203,360 ONE Balanced Hybrid Fund-Reg(IDCW),7/22/2024 12:00:00 AM,12.1531,360onebalancedhybridfundregidcw,360onebalancedhyrbridfundregularplanidcw,360 ONE Balanced Hyrbrid fund - Regular Plan - IDCW,152074.0,INF579M01AW3,INF579M01AX1,360 ONE Balanced Hyrbrid fund - Regular Plan - IDCW,12.1531,22-Jul-24,360onebalancedhyrbridfundregularplanidcw
22085,360 ONE Dynamic Bond Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,21.7659,360onedynamicbondfundgdirectplan,360onedynamicbondfunddirectplangrowth,360 ONE Dynamic Bond Fund Direct Plan Growth,122715.0,INF579M01266,-,360 ONE Dynamic Bond Fund Direct Plan Growth,21.7659,22-Jul-24,360onedynamicbondfunddirectplangrowth
35637,360 ONE Dynamic Bond Fund(M-IDCW Payout)-Direct Plan,7/22/2024 12:00:00 AM,13.2657,360onedynamicbondfundmidcwpayoutdirectplan,,,,,,,,,
22086,360 ONE Dynamic Bond Fund(M-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,13.2657,360onedynamicbondfundmidcwdirectplan,360onedynamicbondfunddirectplangrowth,360 ONE Dynamic Bond Fund Direct Plan Growth,122715.0,INF579M01266,-,360 ONE Dynamic Bond Fund Direct Plan Growth,21.7659,22-Jul-24,360onedynamicbondfunddirectplangrowth
43654,360 ONE Dynamic Bond Fund(Q-IDCW Payout)-Direct Plan,7/22/2024 12:00:00 AM,20.0876,360onedynamicbondfundqidcwpayoutdirectplan,,,,,,,,,
22087,360 ONE Dynamic Bond Fund(Q-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,20.0876,360onedynamicbondfundqidcwdirectplan,360onedynamicbondfunddirectplangrowth,360 ONE Dynamic Bond Fund Direct Plan Growth,122715.0,INF579M01266,-,360 ONE Dynamic Bond Fund Direct Plan Growth,21.7659,22-Jul-24,360onedynamicbondfunddirectplangrowth
22228,360 ONE Dynamic Bond Fund-Reg(B),7/22/2024 12:00:00 AM,20.6797,360onedynamicbondfundregb,360onedynamicbondfundregularplanbonus,360 ONE Dynamic Bond Fund Regular Plan Bonus,122711.0,INF579M01191,-,360 ONE Dynamic Bond Fund Regular Plan Bonus,20.6797,22-Jul-24,360onedynamicbondfundregularplanbonus
17578,360 ONE Dynamic Bond Fund-Reg(G),7/22/2024 12:00:00 AM,20.6798,360onedynamicbondfundregg,,,,,,,,,
43653,360 ONE Dynamic Bond Fund-Reg(H-IDCW Payout),7/22/2024 12:00:00 AM,19.9559,360onedynamicbondfundreghidcwpayout,,,,,,,,,
22083,360 ONE Dynamic Bond Fund-Reg(H-IDCW),7/22/2024 12:00:00 AM,19.9559,360onedynamicbondfundreghidcw,,,,,,,,,
43651,360 ONE Dynamic Bond Fund-Reg(M-IDCW Payout),7/22/2024 12:00:00 AM,12.371,360onedynamicbondfundregmidcwpayout,,,,,,,,,
17579,360 ONE Dynamic Bond Fund-Reg(M-IDCW),7/22/2024 12:00:00 AM,12.371,360onedynamicbondfundregmidcw,,,,,,,,,
43652,360 ONE Dynamic Bond Fund-Reg(Q-IDCW Payout),7/22/2024 12:00:00 AM,19.956,360onedynamicbondfundregqidcwpayout,,,,,,,,,
17580,360 ONE Dynamic Bond Fund-Reg(Q-IDCW),7/22/2024 12:00:00 AM,19.956,360onedynamicbondfundregqidcw,,,,,,,,,
